-67,-83
-71,-65
32,-82
-70,26
-75,-88
-86,-64
32,-66
-78,-60
-86,-82
-64,-69
-56,-79
-81,-65
-57,-76
-71,-55
-78,-79
-64,-64
-58,-53
22,-79
-78,-67
-73,-63
-71,-49
-50,47
-52,-54
-58,-66
-44,-67
-65,50
-52,-58
-59,-64
-50,-51
-70,-64
-62,40
-64,-54
-56,-55
-57,-58
-60,-46
-41,-46
-32,-45
-46,-60
-29,-35
-55,-44
-31,-32
-45,-50
-34,-35
-47,-39
-48,-37
-41,-46
77,-50
-45,-36
-52,-34
-39,-45
79,-36
-30,-46
-37,-31
-45,-35
-17,-32
-21,-29
-44,-37
-37,-39
-29,-31
-35,-37
-27,-38
-12,-38
-14,-26
88,-29
-29,-36
-32,-34
83,-26
-26,-19
-6,-15
-28,-23
-11,-22
-24,-14
-25,-13
-24,0
-7,-18
-7,-17
-12,-12
-18,3
-12,3
-22,-12
3,-18
-9,-13
-15,101
4,-15
-4,-14
92,1
-8,-14
15,2
0,-6
16,-11
6,8
19,11
3,-9
14,11
6,8
2,7
5,18
6,-1
4,21
13,16
0,5
14,21
4,17
23,10
30,12
23,134
126,8
22,12
24,14
15,30
20,14
26,14
24,24
27,40
19,31
33,43
31,33
44,35
45,23
28,25
37,31
23,28
45,41
26,43
29,39
52,27
30,53
49,41
32,40
45,52
56,33
32,59
-19,-20
21,27
27,18
